hillnumber,hillname,region,parent,classification,metres,gridref,latitude,longitude,wainwright
2471,Lank Rigg,34B,2368,Hu;5;Dew;W; B;Sy;Fel,541,NY091119,54.494811,-3.403973,1
2472,Calf Crag,34B,2396,5;Dew;W;B; Sy;Fel,537,NY301104,54.484231,-3.079493,1
2473,Whin Rigg (Wasdale),34B,2454,5;Dew;W;B; Sy;Fel,537,NY151035,54.420162,-3.309916,1
2474,Gavel Fell,34B,2462,5;Dew;W;B; Sy;Fel,526,NY116183,54.552984,-3.366804,1
2475,Eagle Crag,34B,2396,s5;W;B;Sy; Fel,525,NY275121,54.499056,-3.12048,1
2476,Crag Fell,34B,2368,Hu;5;Dew;W; B;Sy;Fel,523,NY097143,54.516717,-3.396073,1
2477,Whinlatter [Brown How - Whinlatter],34A,2345,W;B;Sy;Fel,517,NY191251,54.614855,-3.254033,1
2478,High Tove,34B,2396,W;B;Sy;Fel,515,NY289165,54.53886,-3.100209,1
2479,Mellbreak [Mellbreak South Top],34B,,Ma;5;Dew;W; B;Sy;Fel,512,NY148186,54.555581,-3.318258,1
2480,Broom Fell,34A,2345,s5;W;B;Sy; Fel,511,NY194271,54.633407,-3.249491,1
2481,Hen Comb,34B,2462,Hu;5;Dew;sMa; W;B;Sy;Fel,509,NY132181,54.550848,-3.343261,1
2482,Grike,34B,2368,4;W;B;Sy; Fel,488,NY084140,54.513766,-3.41488,1
2483,Armboth Fell,34B,2396,W,475,NY295157,54.532026,-3.089686,1
2484,Burnbank Fell,34B,2462,W;B;Sy,475,NY110209,54.575943,-3.37834,1
2485,Lingmoor Fell [Lingmoor Fell - Brown How],34B,,Ma;4;W;B; Sy;Fel,470,NY302046,54.432067,-3.07641,1
2486,Barf,34A,2345,4;W;B;Sy; Fel,469,NY214267,54.629665,-3.218084,1
2487,Raven Crag,34B,2396,4;W;B;Sy; Fel,461,NY303187,54.559231,-3.07872,1
2488,Barrow,34B,2372,4;W;B;Sy; Fel,455,NY227218,54.58566,-3.19752,1
2489,Graystones,34A,2345,W,452,NY176266,54.627991,-3.277642,1
2490,Catbells,34B,2400,4;W;B;Sy; Fel,451,NY244198,54.568316,-3.1707,1
2491,Great Crag (Stonethwaite),34B,2396,4;W;B;Sy; Fel,449,NY270146,54.522189,-3.129333,1
2493,Low Fell,34B,,Ma;4;W;B; Sy;Fel,423,NY137226,54.591358,-3.336608,1
2494,Gibson Knott,34B,2396,W;B;Sy;Fel,420,NY316100,54.48107,-3.055825,1
2495,Fellbarrow - Mosser Fell,34B,2493,4;W;B;Sy; Fel,416,NY132242,54.60582,-3.344699,1
2496,Grange Fell [Brund Fell],34B,2396,4;W;B;Sy; Fel,417.2,NY264162,54.536408,-3.137963,1
2497,Buckbarrow,34B,2427,W;B;Sy;Fel,423,NY135061,54.443165,-3.334275,1
2498,Helm Crag,34B,2396,4;W;B;Sy; Fel,405,NY326093,54.475026,-3.040823,1
2499,Silver How,34B,2396,3;W;B;Sy; Fel,395,NY324066,54.450696,-3.04289,1
2500,Walla Crag,34B,2396,W;B;Sy;Fel,379,NY276212,54.581608,-3.120377,1
2501,Ling Fell,34A,2345,3;sHu;W;B; Sy;Fel,373,NY179285,54.645249,-3.272325,1
2502,Rannerdale Knotts,34B,2372,3;W;B;Sy; Fel,355,NY167182,54.552643,-3.289032,1
2503,Sale Fell,34A,2345,Hu;3;W;B; Sy;Fel,359,NY194296,54.655627,-3.250157,1
2505,Dent,34B,2504,WO,346,NY037130,54.503594,-3.488027,0
2506,Boat How,34B,2454,3;WO;B;Sy; Fel,337,NY177034,54.419381,-3.26945,0
2507,Loughrigg Fell,34B,,Ma;3;W;B; Sy;Fel,335,NY346051,54.437454,-3.008355,1
2508,Black Fell,34D,2667,Hu;3;W;B; Sy;Fel,323,NY340015,54.405503,-3.017955,1
2509,Ponsonby Fell,34B,2368,3;WO;B;Sy,315,NY081070,54.450353,-3.417366,0
2510,Castle Crag,34B,2400,2;W;Sy;Fel,290,NY249159,54.533181,-3.161612,1
2511,Cold Fell,34B,2368,2;WO,293,NY058092,54.469439,-3.454829,0
2512,Flat Fell,34B,2368,2;WO,272,NY052137,54.509889,-3.464963,0
2514,Irton Pike,34B,2454,WO,229,NY120015,54.401785,-3.356009,0
2515,Helvellyn,34C,,Ma;F;Sim;Hew; N;W;B;Sy,949.8,NY342151,54.527001,-3.017514,1
2517,Nethermost Pike,34C,2515,N;sSim;W;B; Sy;Fel,891.3,NY343142,54.518993,-3.015446,1
2518,Catstye Cam,34C,2515,Sim;Hew;N;W; B;Sy;Fel,889.6,NY348158,54.533472,-3.008944,1
2520,Raise,34C,2515,Sim;Hew;N;sHu; W;B;Sy;Fel,882.7,NY342174,54.547718,-3.017473,1
2521,Fairfield,34C,,Ma;Sim;Hew;N; W;B;Sy;Fel,873.3,NY358117,54.497054,-2.991648,1
2523,White Side,34C,2515,Sim;Hew;N;W; B;Sy;Fel,863.2,NY337166,54.540904,-3.025048,1
2524,Dollywaggon Pike,34C,2515,Sim;Hew;N;W; B;Sy;Fel,858.5,NY346130,54.508693,-3.011175,1
2525,Great Dodd,34C,2515,Hu;Sim;Hew;N; W;B;Sy;Fel,857,NY342205,54.575689,-3.019377,1
2526,Stybarrow Dodd,34C,2515,Sim;Hew;N;W; B;Sy;Fel,843.7,NY343189,54.561137,-3.017405,1
2527,St Sunday Crag,34C,,Ma;Sim;Hew;N; W;B;Sy;Fel,841.2,NY369133,54.51194,-2.975836,1
2528,High Street,34C,,Ma;Sim;Hew;N; W;B;Sy;Fel,828,NY440110,54.491691,-2.86486,1
2529,Hart Crag,34C,2521,Sim;Hew;N;W; B;Sy;Fel,823.1,NY368112,54.492752,-2.976954,1
2530,High Raise (High Street),34C,2528,Sim;Hew;N;W; B;Sy;Fel,802,NY448134,54.513367,-2.853779,1
2532,Rampsgill Head,34C,2528,Sim;Hew;N;W; B;Sy;Fel,792,NY443128,54.508092,-2.861252,1
2533,Dove Crag,34C,2521,Sim;Hew;N;W; B;Sy;Fel,792,NY374104,54.4854,-2.96693,1
2534,Watson's Dodd,34C,2515,W;B;Sy;Fel,789,NY335195,54.566917,-3.028995,1
2535,Thornthwaite Crag,34C,2528,Sim;Hew;N;W; B;Sy;Fel,784,NY431100,54.482611,-2.878976,1
2536,Kidsty Pike,34C,2528,N;W;B;Sy; Fel,780,NY447125,54.505513,-2.854959,1
2537,Harter Fell (Mardale),34C,2528,Hu;Sim;Hew;N; sMa;W;B;Sy,779,NY459093,54.476414,-2.835323,1
2538,Red Screes,34C,,Ma;Sim;Hew;N; W;B;Sy;Fel,776,NY396087,54.47058,-2.932572,1
2539,Great Rigg,34C,2521,Sim;Hew;N;W; B;Sy;Fel,766.1,NY355104,54.484906,-2.995676,1
2540,Stony Cove Pike [Caudale Moor],34C,,Ma;Sim;Hew;N; W;B;Sy;Fel,763,NY417100,54.48206,-2.90008,1
2541,Mardale Ill Bell,34C,2528,W;B;Sy;Fel; xN,760,NY447101,54.483418,-2.854112,1
2542,Ill Bell,34C,2528,Hu;Sim;Hew;N; W;B;Sy;Fel,757,NY436077,54.462017,-2.870837,1
2543,Hart Side,34C,2515,N;sSim;W;B; Sy;Fel,756,NY359197,54.568719,-2.992938,1
2544,The Knott (High Street),34C,2528,W;B;Sy;xN,739,NY437126,54.506316,-2.870821,1
2545,Seat Sandal,34C,,Ma;Sim;Hew;N; W;B;Sy;Fel,736.8,NY344115,54.494857,-3.014027,1
2546,Kentmere Pike,34C,2528,Sim;Hew;N;W; B;Sy;Fel,730,NY465077,54.462673,-2.826033,1
2547,Clough Head,34C,2515,Hu;Sim;Hew;N; W;B;Sy;Fel,726,NY333225,54.593661,-3.032362,1
2548,Froswick,34C,2528,Sim;Hew;N;W; B;Sy;Fel,720,NY435085,54.468949,-2.872959,1
2549,Birkhouse Moor,34C,2515,N;sSim;W;B; Sy;Fel,717.6,NY363159,54.535033,-2.98532,1
2550,Branstree,34C,2528,Hu;Sim;Hew;N; W;B;Sy;Fel,713,NY478099,54.482402,-2.807168,1
2551,Yoke,34C,2528,Sim;Hew;N;W; B;Sy;Fel,706,NY437067,54.452928,-2.868716,1
2552,Gray Crag,34C,2528,N;W;B;Sy; Fel,699,NY427117,54.497475,-2.885379,1
2553,Rest Dodd,34C,2528,Hu;Sim;Hew;N; W;B;Sy;Fel,696,NY432136,54.514937,-2.878033,1
